Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
"MRS Bulletin",Cambridge University Press,,Cambridge Core,,CUP:MRS,0883-7694,1938-1425,https://www.cambridge.org/core/product/identifier/MRS/type/journal,Controlled,Unique_Item_Investigations,12,2,0,2,1,0,5,0,1,1,0,0,0,
"MRS Bulletin",Cambridge University Press,,Cambridge Core,,CUP:MRS,0883-7694,1938-1425,https://www.cambridge.org/core/product/identifier/MRS/type/journal,Controlled,Unique_Item_Requests,4,1,0,0,0,0,3,0,0,0,0,0,0,
"MRS Online Proceedings Library Archive",Cambridge University Press,,Cambridge Core,,CUP:OPL,0272-9172,1946-4274,https://www.cambridge.org/core/product/identifier/OPL/type/journal,Controlled,Total_Item_Investigations,17,2,0,1,2,1,0,3,1,3,0,2,2,
"MRS Online Proceedings Library Archive",Cambridge University Press,,Cambridge Core,,CUP:OPL,0272-9172,1946-4274,https://www.cambridge.org/core/product/identifier/OPL/type/journal,Controlled,Unique_Item_Investigations,15,2,0,1,2,1,0,3,1,2,0,2,1,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Total_Item_Investigations,42,4,2,1,2,3,1,3,4,9,8,0,5,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Total_Item_Requests,19,2,0,0,1,2,0,2,4,3,2,0,3,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Unique_Item_Investigations,29,2,2,1,1,3,1,2,1,5,8,0,3,
"Proceedings of the Nutrition Society",Cambridge University Press,,Cambridge Core,,CUP:PNS,0029-6651,1475-2719,https://www.cambridge.org/core/product/identifier/PNS/type/journal,Controlled,Unique_Item_Requests,14,1,0,0,1,2,0,2,1,3,2,0,2,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Total_Item_Investigations,3,1,0,0,0,2,0,0,0,0,0,0,0,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Total_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Unique_Item_Investigations,2,1,0,0,0,1,0,0,0,0,0,0,0,
"International Psychogeriatrics",Cambridge University Press,,Cambridge Core,,CUP:IPG,1041-6102,1741-203X,https://www.cambridge.org/core/product/identifier/IPG/type/journal,Controlled,Unique_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Total_Item_Investigations,3,1,0,0,0,0,0,0,0,0,1,0,1,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Unique_Item_Investigations,3,1,0,0,0,0,0,0,0,0,1,0,1,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Expert Reviews in Molecular Medicine",Cambridge University Press,,Cambridge Core,,CUP:ERM,,1462-3994,https://www.cambridge.org/core/product/identifier/ERM/type/journal,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Total_Item_Investigations,17,1,0,0,1,2,0,0,1,1,1,1,9,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Unique_Item_Investigations,14,1,0,0,1,2,0,0,1,1,1,1,6,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Total_Item_Requests,10,0,0,0,0,0,0,0,1,0,0,1,8,
"Renewable Agriculture and Food Systems",Cambridge University Press,,Cambridge Core,,CUP:RAF,1742-1705,1742-1713,https://www.cambridge.org/core/product/identifier/RAF/type/journal,Controlled,Unique_Item_Requests,7,0,0,0,0,0,0,0,1,0,0,1,5,
"Microscopy and Microanalysis",Cambridge University Press,,Cambridge Core,,CUP:MAM,1431-9276,1435-8115,https://www.cambridge.org/core/product/identifier/MAM/type/journal,Controlled,Total_Item_Investigations,27,1,2,2,7,3,1,0,10,0,0,0,1,
"Microscopy and Microanalysis",Cambridge University Press,,Cambridge Core,,CUP:MAM,1431-9276,1435-8115,https://www.cambridge.org/core/product/identifier/MAM/type/journal,Controlled,Unique_Item_Investigations,16,1,2,1,3,2,1,0,5,0,0,0,1,
"Microscopy and Microanalysis",Cambridge University Press,,Cambridge Core,,CUP:MAM,1431-9276,1435-8115,https://www.cambridge.org/core/product/identifier/MAM/type/journal,Controlled,Total_Item_Requests,7,0,0,1,1,2,0,0,3,0,0,0,0,
"Microscopy and Microanalysis",Cambridge University Press,,Cambridge Core,,CUP:MAM,1431-9276,1435-8115,https://www.cambridge.org/core/product/identifier/MAM/type/journal,Controlled,Unique_Item_Requests,6,0,0,1,1,2,0,0,2,0,0,0,0,
"MRS Energy & Sustainability",Cambridge University Press,,Cambridge Core,,CUP:MRE,2329-2229,2329-2237,https://www.cambridge.org/core/product/identifier/MRE/type/journal,Controlled,Total_Item_Investigations,3,3,0,0,0,0,0,0,0,0,0,0,0,
"MRS Energy & Sustainability",Cambridge University Press,,Cambridge Core,,CUP:MRE,2329-2229,2329-2237,https://www.cambridge.org/core/product/identifier/MRE/type/journal,Controlled,Total_Item_Requests,2,2,0,0,0,0,0,0,0,0,0,0,0,
"MRS Energy & Sustainability",Cambridge University Press,,Cambridge Core,,CUP:MRE,2329-2229,2329-2237,https://www.cambridge.org/core/product/identifier/MRE/type/journal,Controlled,Unique_Item_Investigations,2,2,0,0,0,0,0,0,0,0,0,0,0,
"MRS Energy & Sustainability",Cambridge University Press,,Cambridge Core,,CUP:MRE,2329-2229,2329-2237,https://www.cambridge.org/core/product/identifier/MRE/type/journal,Controlled,Unique_Item_Requests,2,2,0,0,0,0,0,0,0,0,0,0,0,
"Journal of Materials Research",Cambridge University Press,,Cambridge Core,,CUP:JMR,0884-2914,2044-5326,https://www.cambridge.org/core/product/identifier/JMR/type/journal,Controlled,Total_Item_Investigations,27,1,7,1,0,2,0,2,4,1,7,2,0,
"Journal of Materials Research",Cambridge University Press,,Cambridge Core,,CUP:JMR,0884-2914,2044-5326,https://www.cambridge.org/core/product/identifier/JMR/type/journal,Controlled,Unique_Item_Investigations,21,1,5,1,0,2,0,2,3,1,4,2,0,
"Journal of Materials Research",Cambridge University Press,,Cambridge Core,,CUP:JMR,0884-2914,2044-5326,https://www.cambridge.org/core/product/identifier/JMR/type/journal,Controlled,Total_Item_Requests,6,0,2,0,0,0,0,0,0,0,4,0,0,
"Journal of Materials Research",Cambridge University Press,,Cambridge Core,,CUP:JMR,0884-2914,2044-5326,https://www.cambridge.org/core/product/identifier/JMR/type/journal,Controlled,Unique_Item_Requests,4,0,2,0,0,0,0,0,0,0,2,0,0,
"Development and Psychopathology",Cambridge University Press,,Cambridge Core,,CUP:DPP,0954-5794,1469-2198,https://www.cambridge.org/core/product/identifier/DPP/type/journal,Controlled,Total_Item_Investigations,7,1,0,0,1,0,0,1,3,0,1,0,0,
"Development and Psychopathology",Cambridge University Press,,Cambridge Core,,CUP:DPP,0954-5794,1469-2198,https://www.cambridge.org/core/product/identifier/DPP/type/journal,Controlled,Unique_Item_Investigations,7,1,0,0,1,0,0,1,3,0,1,0,0,
"MRS Communications",Cambridge University Press,,Cambridge Core,,CUP:MRC,2159-6859,2159-6867,https://www.cambridge.org/core/product/identifier/MRC/type/journal,Controlled,Total_Item_Investigations,19,2,1,4,1,0,3,4,0,1,1,2,0,
"MRS Communications",Cambridge University Press,,Cambridge Core,,CUP:MRC,2159-6859,2159-6867,https://www.cambridge.org/core/product/identifier/MRC/type/journal,Controlled,Unique_Item_Investigations,17,2,1,4,1,0,3,3,0,1,1,1,0,
"MRS Communications",Cambridge University Press,,Cambridge Core,,CUP:MRC,2159-6859,2159-6867,https://www.cambridge.org/core/product/identifier/MRC/type/journal,Controlled,Total_Item_Requests,2,0,0,0,0,0,1,0,0,1,0,0,0,
"MRS Communications",Cambridge University Press,,Cambridge Core,,CUP:MRC,2159-6859,2159-6867,https://www.cambridge.org/core/product/identifier/MRC/type/journal,Controlled,Unique_Item_Requests,2,0,0,0,0,0,1,0,0,1,0,0,0,
"animal",Cambridge University Press,,Cambridge Core,,CUP:ANM,1751-7311,1751-732X,https://www.cambridge.org/core/product/identifier/ANM/type/journal,OA_Gold,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"animal",Cambridge University Press,,Cambridge Core,,CUP:ANM,1751-7311,1751-732X,https://www.cambridge.org/core/product/identifier/ANM/type/journal,OA_Gold,Unique_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Journal of Dairy Research",Cambridge University Press,,Cambridge Core,,CUP:DAR,0022-0299,1469-7629,https://www.cambridge.org/core/product/identifier/DAR/type/journal,Controlled,Total_Item_Investigations,86,11,1,15,4,1,3,16,3,19,4,5,4,
"Journal of Dairy Research",Cambridge University Press,,Cambridge Core,,CUP:DAR,0022-0299,1469-7629,https://www.cambridge.org/core/product/identifier/DAR/type/journal,Controlled,Total_Item_Requests,46,4,0,6,0,0,2,7,2,17,3,3,2,
"Journal of Dairy Research",Cambridge University Press,,Cambridge Core,,CUP:DAR,0022-0299,1469-7629,https://www.cambridge.org/core/product/identifier/DAR/type/journal,Controlled,Unique_Item_Investigations,56,4,1,10,3,1,3,10,2,11,4,4,3,
"Journal of Dairy Research",Cambridge University Press,,Cambridge Core,,CUP:DAR,0022-0299,1469-7629,https://www.cambridge.org/core/product/identifier/DAR/type/journal,Controlled,Unique_Item_Requests,28,2,0,4,0,0,2,3,1,9,3,2,2,
"Comparative Studies in Society and History",Cambridge University Press,,Cambridge Core,,CUP:CSS,0010-4175,1475-2999,https://www.cambridge.org/core/product/identifier/CSS/type/journal,Controlled,Total_Item_Investigations,3,1,1,0,0,1,0,0,0,0,0,0,0,
"Comparative Studies in Society and History",Cambridge University Press,,Cambridge Core,,CUP:CSS,0010-4175,1475-2999,https://www.cambridge.org/core/product/identifier/CSS/type/journal,Controlled,Unique_Item_Investigations,3,1,1,0,0,1,0,0,0,0,0,0,0,
"animal",Cambridge University Press,,Cambridge Core,,CUP:ANM,1751-7311,1751-732X,https://www.cambridge.org/core/product/identifier/ANM/type/journal,Controlled,Total_Item_Investigations,9,2,0,0,3,0,0,0,1,2,0,0,1,
"animal",Cambridge University Press,,Cambridge Core,,CUP:ANM,1751-7311,1751-732X,https://www.cambridge.org/core/product/identifier/ANM/type/journal,Controlled,Unique_Item_Investigations,6,1,0,0,2,0,0,0,1,1,0,0,1,
"animal",Cambridge University Press,,Cambridge Core,,CUP:ANM,1751-7311,1751-732X,https://www.cambridge.org/core/product/identifier/ANM/type/journal,Controlled,Total_Item_Requests,3,0,0,0,1,0,0,0,0,2,0,0,0,
"animal",Cambridge University Press,,Cambridge Core,,CUP:ANM,1751-7311,1751-732X,https://www.cambridge.org/core/product/identifier/ANM/type/journal,Controlled,Unique_Item_Requests,2,0,0,0,1,0,0,0,0,1,0,0,0,
"MRS Advances",Materials Research Society,,Cambridge Core,,CUP:ADV,,2059-8521,https://www.cambridge.org/core/product/identifier/ADV/type/journal,Controlled,Total_Item_Investigations,12,1,2,0,4,0,0,1,2,0,1,1,0,
"MRS Advances",Materials Research Society,,Cambridge Core,,CUP:ADV,,2059-8521,https://www.cambridge.org/core/product/identifier/ADV/type/journal,Controlled,Unique_Item_Investigations,11,1,2,0,4,0,0,1,1,0,1,1,0,
"Design Science",Cambridge University Press,,Cambridge Core,,CUP:DSJ,,2053-4701,https://www.cambridge.org/core/product/identifier/DSJ/type/journal,OA_Gold,Total_Item_Investigations,5,4,0,1,0,0,0,0,0,0,0,0,0,
"Design Science",Cambridge University Press,,Cambridge Core,,CUP:DSJ,,2053-4701,https://www.cambridge.org/core/product/identifier/DSJ/type/journal,OA_Gold,Total_Item_Requests,4,3,0,1,0,0,0,0,0,0,0,0,0,
