Title,Proprietary_ID,Print_ISSN,URI,Online_ISSN,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
Journal of Fluid Mechanics,CUP:FLM,0022-1120,https://www.cambridge.org/core/product/identifier/FLM/type/journal,1469-7645,Controlled,Total_Item_Investigations,203,3,6,5,5,9,4,6,41,114,2,4,4
Journal of Fluid Mechanics,CUP:FLM,0022-1120,https://www.cambridge.org/core/product/identifier/FLM/type/journal,1469-7645,Controlled,Unique_Item_Investigations,167,3,4,5,5,7,4,3,35,92,2,3,4
Journal of Fluid Mechanics,CUP:FLM,0022-1120,https://www.cambridge.org/core/product/identifier/FLM/type/journal,1469-7645,Controlled,Total_Item_Requests,6,0,2,0,0,1,0,2,0,0,0,1,0
Journal of Fluid Mechanics,CUP:FLM,0022-1120,https://www.cambridge.org/core/product/identifier/FLM/type/journal,1469-7645,Controlled,Unique_Item_Requests,5,0,1,0,0,1,0,2,0,0,0,1,0
International Journal of Tropical Insect Science,CUP:JTI,1742-7584,https://www.cambridge.org/core/product/identifier/JTI/type/journal,1742-7592,Controlled,Total_Item_Investigations,2,1,0,0,0,0,1,0,0,0,0,0,0
International Journal of Tropical Insect Science,CUP:JTI,1742-7584,https://www.cambridge.org/core/product/identifier/JTI/type/journal,1742-7592,Controlled,Unique_Item_Investigations,2,1,0,0,0,0,1,0,0,0,0,0,0
The Journal of African History,CUP:AFH,0021-8537,https://www.cambridge.org/core/product/identifier/AFH/type/journal,1469-5138,Controlled,Total_Item_Investigations,7,2,0,0,2,0,0,0,0,0,3,0,0
The Journal of African History,CUP:AFH,0021-8537,https://www.cambridge.org/core/product/identifier/AFH/type/journal,1469-5138,Controlled,Unique_Item_Investigations,7,2,0,0,2,0,0,0,0,0,3,0,0
The Journal of Agricultural Science,CUP:AGS,0021-8596,https://www.cambridge.org/core/product/identifier/AGS/type/journal,1469-5146,Controlled,Total_Item_Investigations,9,1,0,1,0,0,1,0,2,1,0,0,3
The Journal of Agricultural Science,CUP:AGS,0021-8596,https://www.cambridge.org/core/product/identifier/AGS/type/journal,1469-5146,Controlled,Unique_Item_Investigations,8,1,0,1,0,0,1,0,2,1,0,0,2
The Journal of Agricultural Science,CUP:AGS,0021-8596,https://www.cambridge.org/core/product/identifier/AGS/type/journal,1469-5146,Controlled,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,1
The Journal of Agricultural Science,CUP:AGS,0021-8596,https://www.cambridge.org/core/product/identifier/AGS/type/journal,1469-5146,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,1
MRS Bulletin,CUP:MRS,0883-7694,https://www.cambridge.org/core/product/identifier/MRS/type/journal,1938-1425,Controlled,Total_Item_Investigations,20,3,0,2,2,0,10,0,2,1,0,0,0
MRS Bulletin,CUP:MRS,0883-7694,https://www.cambridge.org/core/product/identifier/MRS/type/journal,1938-1425,Controlled,Total_Item_Requests,8,1,0,0,0,0,7,0,0,0,0,0,0
MRS Bulletin,CUP:MRS,0883-7694,https://www.cambridge.org/core/product/identifier/MRS/type/journal,1938-1425,Controlled,Unique_Item_Investigations,12,2,0,2,1,0,5,0,1,1,0,0,0
MRS Bulletin,CUP:MRS,0883-7694,https://www.cambridge.org/core/product/identifier/MRS/type/journal,1938-1425,Controlled,Unique_Item_Requests,4,1,0,0,0,0,3,0,0,0,0,0,0
MRS Online Proceedings Library Archive,CUP:OPL,0272-9172,https://www.cambridge.org/core/product/identifier/OPL/type/journal,1946-4274,Controlled,Total_Item_Investigations,17,2,0,1,2,1,0,3,1,3,0,2,2
MRS Online Proceedings Library Archive,CUP:OPL,0272-9172,https://www.cambridge.org/core/product/identifier/OPL/type/journal,1946-4274,Controlled,Unique_Item_Investigations,15,2,0,1,2,1,0,3,1,2,0,2,1
Proceedings of the Nutrition Society,CUP:PNS,0029-6651,https://www.cambridge.org/core/product/identifier/PNS/type/journal,1475-2719,Controlled,Total_Item_Investigations,42,4,2,1,2,3,1,3,4,9,8,0,5
Proceedings of the Nutrition Society,CUP:PNS,0029-6651,https://www.cambridge.org/core/product/identifier/PNS/type/journal,1475-2719,Controlled,Total_Item_Requests,19,2,0,0,1,2,0,2,4,3,2,0,3
Proceedings of the Nutrition Society,CUP:PNS,0029-6651,https://www.cambridge.org/core/product/identifier/PNS/type/journal,1475-2719,Controlled,Unique_Item_Investigations,29,2,2,1,1,3,1,2,1,5,8,0,3
Proceedings of the Nutrition Society,CUP:PNS,0029-6651,https://www.cambridge.org/core/product/identifier/PNS/type/journal,1475-2719,Controlled,Unique_Item_Requests,14,1,0,0,1,2,0,2,1,3,2,0,2
International Psychogeriatrics,CUP:IPG,1041-6102,https://www.cambridge.org/core/product/identifier/IPG/type/journal,1741-203X,Controlled,Total_Item_Investigations,3,1,0,0,0,2,0,0,0,0,0,0,0
International Psychogeriatrics,CUP:IPG,1041-6102,https://www.cambridge.org/core/product/identifier/IPG/type/journal,1741-203X,Controlled,Total_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0
International Psychogeriatrics,CUP:IPG,1041-6102,https://www.cambridge.org/core/product/identifier/IPG/type/journal,1741-203X,Controlled,Unique_Item_Investigations,2,1,0,0,0,1,0,0,0,0,0,0,0
International Psychogeriatrics,CUP:IPG,1041-6102,https://www.cambridge.org/core/product/identifier/IPG/type/journal,1741-203X,Controlled,Unique_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0
Expert Reviews in Molecular Medicine,CUP:ERM,,https://www.cambridge.org/core/product/identifier/ERM/type/journal,1462-3994,Controlled,Total_Item_Investigations,3,1,0,0,0,0,0,0,0,0,1,0,1
Expert Reviews in Molecular Medicine,CUP:ERM,,https://www.cambridge.org/core/product/identifier/ERM/type/journal,1462-3994,Controlled,Unique_Item_Investigations,3,1,0,0,0,0,0,0,0,0,1,0,1
Expert Reviews in Molecular Medicine,CUP:ERM,,https://www.cambridge.org/core/product/identifier/ERM/type/journal,1462-3994,Controlled,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0
Expert Reviews in Molecular Medicine,CUP:ERM,,https://www.cambridge.org/core/product/identifier/ERM/type/journal,1462-3994,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0
Renewable Agriculture and Food Systems,CUP:RAF,1742-1705,https://www.cambridge.org/core/product/identifier/RAF/type/journal,1742-1713,Controlled,Total_Item_Investigations,17,1,0,0,1,2,0,0,1,1,1,1,9
Renewable Agriculture and Food Systems,CUP:RAF,1742-1705,https://www.cambridge.org/core/product/identifier/RAF/type/journal,1742-1713,Controlled,Unique_Item_Investigations,14,1,0,0,1,2,0,0,1,1,1,1,6
Renewable Agriculture and Food Systems,CUP:RAF,1742-1705,https://www.cambridge.org/core/product/identifier/RAF/type/journal,1742-1713,Controlled,Total_Item_Requests,10,0,0,0,0,0,0,0,1,0,0,1,8
Renewable Agriculture and Food Systems,CUP:RAF,1742-1705,https://www.cambridge.org/core/product/identifier/RAF/type/journal,1742-1713,Controlled,Unique_Item_Requests,7,0,0,0,0,0,0,0,1,0,0,1,5
Microscopy and Microanalysis,CUP:MAM,1431-9276,https://www.cambridge.org/core/product/identifier/MAM/type/journal,1435-8115,Controlled,Total_Item_Investigations,27,1,2,2,7,3,1,0,10,0,0,0,1
Microscopy and Microanalysis,CUP:MAM,1431-9276,https://www.cambridge.org/core/product/identifier/MAM/type/journal,1435-8115,Controlled,Unique_Item_Investigations,16,1,2,1,3,2,1,0,5,0,0,0,1
Microscopy and Microanalysis,CUP:MAM,1431-9276,https://www.cambridge.org/core/product/identifier/MAM/type/journal,1435-8115,Controlled,Total_Item_Requests,7,0,0,1,1,2,0,0,3,0,0,0,0
Microscopy and Microanalysis,CUP:MAM,1431-9276,https://www.cambridge.org/core/product/identifier/MAM/type/journal,1435-8115,Controlled,Unique_Item_Requests,6,0,0,1,1,2,0,0,2,0,0,0,0
MRS Energy & Sustainability,CUP:MRE,2329-2229,https://www.cambridge.org/core/product/identifier/MRE/type/journal,2329-2237,Controlled,Total_Item_Investigations,3,3,0,0,0,0,0,0,0,0,0,0,0
MRS Energy & Sustainability,CUP:MRE,2329-2229,https://www.cambridge.org/core/product/identifier/MRE/type/journal,2329-2237,Controlled,Total_Item_Requests,2,2,0,0,0,0,0,0,0,0,0,0,0
MRS Energy & Sustainability,CUP:MRE,2329-2229,https://www.cambridge.org/core/product/identifier/MRE/type/journal,2329-2237,Controlled,Unique_Item_Investigations,2,2,0,0,0,0,0,0,0,0,0,0,0
MRS Energy & Sustainability,CUP:MRE,2329-2229,https://www.cambridge.org/core/product/identifier/MRE/type/journal,2329-2237,Controlled,Unique_Item_Requests,2,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Materials Research,CUP:JMR,0884-2914,https://www.cambridge.org/core/product/identifier/JMR/type/journal,2044-5326,Controlled,Total_Item_Investigations,27,1,7,1,0,2,0,2,4,1,7,2,0
Journal of Materials Research,CUP:JMR,0884-2914,https://www.cambridge.org/core/product/identifier/JMR/type/journal,2044-5326,Controlled,Unique_Item_Investigations,21,1,5,1,0,2,0,2,3,1,4,2,0
Journal of Materials Research,CUP:JMR,0884-2914,https://www.cambridge.org/core/product/identifier/JMR/type/journal,2044-5326,Controlled,Total_Item_Requests,6,0,2,0,0,0,0,0,0,0,4,0,0
Journal of Materials Research,CUP:JMR,0884-2914,https://www.cambridge.org/core/product/identifier/JMR/type/journal,2044-5326,Controlled,Unique_Item_Requests,4,0,2,0,0,0,0,0,0,0,2,0,0
Development and Psychopathology,CUP:DPP,0954-5794,https://www.cambridge.org/core/product/identifier/DPP/type/journal,1469-2198,Controlled,Total_Item_Investigations,7,1,0,0,1,0,0,1,3,0,1,0,0
Development and Psychopathology,CUP:DPP,0954-5794,https://www.cambridge.org/core/product/identifier/DPP/type/journal,1469-2198,Controlled,Unique_Item_Investigations,7,1,0,0,1,0,0,1,3,0,1,0,0
MRS Communications,CUP:MRC,2159-6859,https://www.cambridge.org/core/product/identifier/MRC/type/journal,2159-6867,Controlled,Total_Item_Investigations,19,2,1,4,1,0,3,4,0,1,1,2,0
MRS Communications,CUP:MRC,2159-6859,https://www.cambridge.org/core/product/identifier/MRC/type/journal,2159-6867,Controlled,Unique_Item_Investigations,17,2,1,4,1,0,3,3,0,1,1,1,0
MRS Communications,CUP:MRC,2159-6859,https://www.cambridge.org/core/product/identifier/MRC/type/journal,2159-6867,Controlled,Total_Item_Requests,2,0,0,0,0,0,1,0,0,1,0,0,0
MRS Communications,CUP:MRC,2159-6859,https://www.cambridge.org/core/product/identifier/MRC/type/journal,2159-6867,Controlled,Unique_Item_Requests,2,0,0,0,0,0,1,0,0,1,0,0,0
animal,CUP:ANM,1751-7311,https://www.cambridge.org/core/product/identifier/ANM/type/journal,1751-732X,OA_Gold,Total_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0
animal,CUP:ANM,1751-7311,https://www.cambridge.org/core/product/identifier/ANM/type/journal,1751-732X,OA_Gold,Unique_Item_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Dairy Research,CUP:DAR,0022-0299,https://www.cambridge.org/core/product/identifier/DAR/type/journal,1469-7629,Controlled,Total_Item_Investigations,86,11,1,15,4,1,3,16,3,19,4,5,4
Journal of Dairy Research,CUP:DAR,0022-0299,https://www.cambridge.org/core/product/identifier/DAR/type/journal,1469-7629,Controlled,Total_Item_Requests,46,4,0,6,0,0,2,7,2,17,3,3,2
Journal of Dairy Research,CUP:DAR,0022-0299,https://www.cambridge.org/core/product/identifier/DAR/type/journal,1469-7629,Controlled,Unique_Item_Investigations,56,4,1,10,3,1,3,10,2,11,4,4,3
Journal of Dairy Research,CUP:DAR,0022-0299,https://www.cambridge.org/core/product/identifier/DAR/type/journal,1469-7629,Controlled,Unique_Item_Requests,28,2,0,4,0,0,2,3,1,9,3,2,2
Comparative Studies in Society and History,CUP:CSS,0010-4175,https://www.cambridge.org/core/product/identifier/CSS/type/journal,1475-2999,Controlled,Total_Item_Investigations,3,1,1,0,0,1,0,0,0,0,0,0,0
